NUTS3;CODE
'BE328';'7536'
'BE32C';'7063'
'BE213';'2288'
'BE223';'3742'
'BE345';'6813'
'BE211';'2610'
'BE328';'7712'
'BE344';'6890'
'BE234';'9931'
'BE256';'8880'
'BE335';'4851'
'BE310';'1325'
'BE241';'1800'
'BE335';'4821'
'BE345';'6760'
'BE236';'9112'
'BE352';'5336'
'BE32B';'6182'
'BE242';'3010'
'BE331';'4160'
'BE336';'4728'
'BE233';'9988'
'BE233';'9060'
'BE242';'3384'
'BE234';'9030'
'BE32B';'6032'
'BE211';'2660'
'BE342';'6666'
'BE100';'1030'
'BE211';'2930'
'BE100';'1050'
'BE241';'1745'
'BE231';'9308'
'BE241';'1981'
'BE335';'4877'
'BE329';'7110'
'BE241';'1701'
'BE241';'1860'
'BE345';'6730'
'BE32D';'6470'
'BE32D';'6532'
'BE310';'1300'
'BE234';'9042'
'BE351';'5524'
'BE352';'5140'
'BE32C';'7170'
'BE310';'1400'
'BE310';'1390'
'BE331';'4577'
'BE32A';'7320'
'BE310';'1471'
'BE236';'9170'
'BE32D';'6440'
'BE32D';'6441'
'BE328';'7622'
'BE213';'2430'
'BE251';'8370'
'BE211';'2980'
'BE242';'3050'
'BE225';'3960'
'BE242';'3390'
'BE254';'8587'
'BE251';'8490'
'BE257';'8700'
'BE100';'1090'
'BE241';'1600'
'BE310';'1401'
'BE223';'3740'
'BE353';'5651'
'BE351';'5573'
'BE241';'1654'
'BE233';'9980'
'BE242';'3130'
'BE231';'9551'
'BE328';'7601'
'BE310';'1315'
'BE242';'3150'
'BE351';'5376'
'BE332';'4432'
'BE352';'5020'
'BE241';'1852'
'BE253';'8908'
'BE351';'5537'
'BE224';'3520'
'BE334';'4260'
'BE343';'6952'
'BE344';'6850'
'BE332';'4041'
'BE335';'4651'
'BE211';'2630'
'BE342';'6670'
'BE332';'4052'
'BE310';'1341'
'BE32A';'7862'
'BE32D';'6150'
'BE241';'1830'
'BE241';'1760'
'BE343';'6982'
'BE345';'6747'
'BE351';'5353'
'BE231';'9520'
'BE351';'5561'
'BE351';'5544'
'BE331';'4210'
'BE323';'7040'
'BE242';'3380'
'BE323';'7870'
'BE242';'3473'
'BE328';'7608'
'BE32A';'7942'
'BE257';'8755'
'BE211';'2600'
'BE211';'2970'
'BE235';'9680'
'BE223';'3724'
'BE242';'3271'
'BE344';'6870'
'BE328';'7740'
'BE242';'3320'
'BE242';'3460'
'BE241';'1982'
'BE231';'9506'
'BE336';'4761'
'BE242';'3040'
'BE223';'3770'
'BE332';'4920'
'BE32D';'6464'
'BE32D';'6540'
'BE32C';'7180'
'BE32B';'6223'
'BE255';'8450'
'BE310';'1402'
'BE343';'6997'
'BE32A';'7951'
'BE343';'6941'
'BE336';'4720'
'BE336';'4701'
'BE353';'5600'
'BE352';'5170'
'BE353';'5621'
'BE335';'4654'
'BE231';'9402'
'BE331';'4218'
'BE335';'4845'
'BE253';'8904'
'BE255';'8430'
'BE224';'3800'
'BE329';'7120'
'BE233';'9960'
'BE236';'9120'
'BE234';'9800'
'BE255';'8434'
'BE242';'3111'
'BE331';'4590'
'BE211';'2620'
'BE242';'3470'
'BE310';'1357'
'BE332';'4681'
'BE212';'2860'
'BE211';'2050'
'BE211';'2990'
'BE323';'7331'
'BE32B';'6142'
'BE235';'9630'
'BE32B';'6210'
'BE212';'2223'
'BE344';'6838'
'BE352';'5300'
'BE223';'3830'
'BE323';'7034'
'BE344';'6856'
'BE328';'7532'
'BE236';'9190'
'BE241';'1620'
'BE234';'9830'
'BE231';'9420'
'BE335';'4987'
'BE332';'4630'
'BE310';'1380'
'BE241';'1730'
'BE344';'6836'
'BE234';'9870'
'BE336';'4771'
'BE351';'5540'
'BE334';'4261'
'BE323';'7370'
'BE254';'8500'
'BE334';'4367'
'BE32B';'6250'
'BE310';'1460'
'BE236';'9160'
'BE212';'2500'
'BE223';'3730'
'BE251';'8380'
'BE343';'6972'
'BE332';'4121'
'BE235';'9661'
'BE352';'5641'
'BE224';'3583'
'BE233';'9981'
'BE223';'3732'
'BE335';'4980'
'BE332';'4051'
'BE331';'4537'
'BE328';'7750'
'BE342';'6674'
'BE323';'7024'
'BE328';'7533'
'BE323';'7011'
'BE211';'2550'
'BE253';'8900'
'BE212';'2890'
'BE213';'2328'
'BE257';'8780'
'BE224';'3512'
'BE335';'4653'
'BE32A';'7912'
'BE352';'5330'
'BE225';'3930'
'BE328';'7618'
'BE211';'2160'
'BE211';'2910'
'BE211';'2390'
'BE351';'5360'
'BE254';'8560'
'BE332';'4451'
'BE32C';'7090'
'BE213';'2322'
'BE213';'2260'
'BE235';'9700'
'BE211';'2150'
'BE241';'1970'
'BE323';'7301'
'BE343';'6990'
'BE254';'8551'
'BE232';'9200'
'BE234';'9050'
'BE328';'7500'
'BE32D';'6120'
'BE323';'7021'
'BE310';'1435'
'BE213';'2280'
'BE242';'3070'
'BE335';'4990'
'BE331';'4181'
'BE331';'4161'
'BE310';'1310'
'BE342';'6637'
'BE351';'5361'
'BE323';'7050'
'BE334';'4257'
'BE213';'2275'
'BE211';'2650'
'BE231';'9403'
'BE223';'3620'
'BE335';'4970'
'BE332';'4460'
'BE253';'8958'
'BE343';'6986'
'BE328';'7534'
'BE328';'7700'
'BE32C';'7070'
'BE211';'2520'
'BE211';'2070'
'BE323';'7390'
'BE328';'7548'
'BE213';'2431'
'BE332';'4430'
'BE211';'2240'
'BE241';'3090'
'BE331';'4550'
'BE344';'6834'
'BE352';'5352'
'BE251';'8020'
'BE323';'7041'
'BE242';'3212'
'BE351';'5377'
'BE212';'2812'
'BE323';'7387'
'BE323';'7030'
'BE223';'3792'
'BE225';'3950'
'BE231';'9401'
'BE332';'4682'
'BE334';'4300'
'BE332';'4600'
'BE231';'9450'
'BE335';'4802'
'BE352';'5334'
'BE335';'4861'
'BE328';'7621'
'BE328';'7780'
'BE242';'3140'
'BE345';'6810'
'BE351';'5370'
'BE212';'2590'
'BE32A';'7321'
'BE233';'9991'
'BE213';'2381'
'BE242';'3360'
'BE213';'2387'
'BE32B';'6238'
'BE323';'7340'
'BE223';'3791'
'BE253';'8951'
'BE345';'6724'
'BE242';'3202'
'BE342';'6661'
'BE332';'4602'
'BE343';'6980'
'BE332';'4631'
'BE351';'5500'
'BE211';'2940'
'BE212';'2830'
'BE251';'8730'
'BE258';'8630'
'BE335';'4900'
'BE328';'7781'
'BE328';'7623'
'BE242';'3000'
'BE242';'3321'
'BE344';'6852'
'BE331';'4557'
'BE32B';'6111'
'BE310';'1370'
'BE211';'2030'
'BE345';'6721'
'BE328';'7542'
'BE32D';'6530'
'BE323';'7012'
'BE32A';'7822'
'BE336';'4730'
'BE310';'1404'
'BE224';'3891'
'BE255';'8460'
'BE342';'6600'
'BE100';'1080'
'BE254';'8510'
'BE310';'1340'
'BE328';'7538'
'BE211';'2547'
'BE254';'8552'
'BE213';'2330'
'BE310';'6020'
'BE352';'5022'
'BE224';'3550'
'BE32A';'7864'
'BE328';'7600'
'BE32A';'7943'
'BE351';'5574'
'BE332';'4624'
'BE343';'6940'
'BE332';'4452'
'BE223';'3831'
'BE332';'4608'
'BE100';'1040'
'BE211';'2845'
'BE328';'7620'
'BE310';'1320'
'BE242';'3060'
'BE332';'4120'
'BE342';'6688'
'BE345';'6750'
'BE224';'3665'
'BE331';'4570'
'BE332';'4130'
'BE329';'7133'
'BE328';'7784'
'BE332';'4684'
'BE323';'7330'
'BE256';'8800'
'BE342';'6690'
'BE241';'1547'
'BE241';'1790'
'BE342';'6680'
'BE343';'6984'
'BE336';'4710'
'BE345';'6761'
'BE351';'5523'
'BE323';'7080'
'BE100';'1180'
'BE232';'9255'
'BE242';'3012'
'BE257';'8850'
'BE332';'4040'
'BE251';'8000'
'BE32B';'6010'
'BE234';'9185'
'BE332';'4102'
'BE310';'1420'
'BE342';'6662'
'BE235';'9660'
'BE254';'8550'
'BE310';'1440'
'BE100';'1020'
'BE257';'8740'
'BE343';'6900'
'BE328';'7906'
'BE351';'5520'
'BE345';'6812'
'BE251';'8300'
'BE257';'8760'
'BE241';'1851'
'BE32A';'7866'
'BE242';'3118'
'BE328';'7603'
'BE256';'8870'
'BE235';'9636'
'BE328';'7504'
'BE343';'6971'
'BE334';'4347'
'BE241';'1602'
'BE241';'1910'
'BE234';'9090'
'BE234';'9880'
'BE351';'5542'
'BE328';'7624'
'BE342';'6660'
'BE223';'3723'
'BE351';'5503'
'BE234';'9921'
'BE32D';'6590'
'BE213';'2400'
'BE335';'4830'
'BE342';'6673'
'BE323';'7032'
'BE254';'8520'
'BE213';'2440'
'BE242';'3078'
'BE328';'7711'
'BE310';'1410'
'BE32A';'7801'
'BE234';'9032'
'BE254';'8580'
'BE32B';'6031'
'BE32A';'7910'
'BE242';'3221'
'BE253';'8950'
'BE241';'1930'
'BE351';'5580'
'BE32B';'6200'
'BE341';'6781'
'BE328';'7743'
'BE100';'1000'
'BE334';'4254'
'BE310';'1301'
'BE310';'1421'
'BE344';'6831'
'BE310';'1330'
'BE234';'9910'
