NUTS3;CODE
'BE343';'6986'
'BE343';'6987'
'BE343';'6990'
'BE343';'6997'
'BE344';'6800'
'BE344';'6830'
'BE344';'6831'
'BE344';'6832'
'BE344';'6833'
'BE344';'6834'
'BE344';'6836'
'BE344';'6838'
'BE344';'6840'
'BE344';'6850'
'BE344';'6851'
'BE344';'6852'
'BE344';'6853'
'BE344';'6856'
'BE344';'6860'
'BE344';'6870'
'BE344';'6880'
'BE344';'6887'
'BE344';'6890'
'BE344';'6920'
'BE344';'6921'
'BE344';'6922'
'BE344';'6924'
'BE344';'6927'
'BE344';'6929'
'BE351';'5360'
'BE351';'5361'
'BE351';'5362'
'BE351';'5363'
'BE351';'5364'
'BE351';'5370'
'BE351';'5372'
'BE351';'5374'
'BE351';'5376'
'BE351';'5377'
'BE351';'5500'
'BE351';'5501'
'BE351';'5502'
'BE351';'5503'
'BE351';'5504'
'BE351';'5520'
'BE351';'5521'
'BE351';'5522'
'BE351';'5523'
'BE351';'5524'
'BE351';'5530'
'BE351';'5537'
'BE351';'5540'
'BE351';'5541'
'BE351';'5542'
'BE351';'5543'
'BE351';'5544'
'BE351';'5550'
'BE351';'5555'
'BE351';'5560'
'BE351';'5561'
'BE351';'5562'
'BE351';'5563'
'BE351';'5564'
'BE351';'5570'
'BE351';'5571'
'BE351';'5572'
'BE351';'5573'
'BE351';'5574'
'BE351';'5575'
'BE351';'5576'
'BE351';'5580'
'BE351';'5590'
'BE352';'5000'
'BE352';'5001'
'BE352';'5002'
'BE352';'5003'
'BE352';'5004'
'BE352';'5020'
'BE352';'5021'
'BE352';'5022'
'BE352';'5024'
'BE352';'5030'
'BE352';'5031'
'BE352';'5032'
'BE352';'5060'
'BE352';'5070'
'BE352';'5080'
'BE352';'5081'
'BE352';'5100'
'BE352';'5101'
'BE352';'5140'
'BE352';'5150'
'BE352';'5170'
'BE352';'5190'
'BE352';'5300'
'BE352';'5310'
'BE352';'5330'
'BE352';'5332'
'BE352';'5333'
'BE352';'5334'
'BE352';'5336'
'BE352';'5340'
'BE352';'5350'
'BE352';'5351'
'BE352';'5352'
'BE352';'5353'
'BE352';'5354'
'BE352';'5380'
'BE352';'5640'
'BE352';'5641'
'BE352';'5644'
'BE352';'5646'
'BE353';'5600'
'BE353';'5620'
'BE353';'5621'
'BE353';'5630'
